City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,weno,7.4515,151.8468,80.55,89,100,8.05,FM,1706574745
203,sur,22.5667,59.5289,72.86,75,100,5.28,OM,1706574745
204,fort mcmurray,56.7268,-111.381,44.11,61,0,4.61,CA,1706574510
205,la'ie,21.6477,-157.9253,82.36,76,2,1.99,US,1706574746
206,bafoulabe,13.8065,-10.8321,75.06,14,100,5.84,ML,1706574746
207,chapada dos guimaraes,-15.4606,-55.7497,71.26,78,100,4.52,BR,1706574746
208,san andres,12.5847,-81.7006,82.42,69,20,12.66,CO,1706574578
209,angaur state,6.906,134.13,81.39,84,100,18.07,PW,1706574746
210,meadow lake,34.8014,-106.5436,56.64,36,100,2.17,US,1706574746
211,tanout,14.9709,8.8879,62.01,22,90,13.96,NE,1706574747
212,kuanda,56.3161,116.0806,-33.95,96,84,0.67,RU,1706574747
213,lompoc,34.6391,-120.4579,73.54,57,0,6.91,US,1706574747
214,puerto baquerizo moreno,-0.9,-89.6,77.5,87,88,11.83,EC,1706574747
215,colonia,50.9333,6.95,49.82,83,0,4.61,DE,1706574747
216,charters towers,-20.1,146.2667,93.9,46,91,8.59,AU,1706574748
217,ramhormoz,31.28,49.6035,57.97,53,85,6.13,IR,1706574748
218,mana,5.6592,-53.7767,76.89,92,5,9.73,GF,1706574748
219,plettenberg bay,-34.0527,23.3716,65.86,80,3,3.29,ZA,1706574748
220,saint croix,17.7397,-64.7388,73.96,84,40,3.44,VI,1706574748
221,cozumel,20.5083,-86.9458,73.47,73,0,16.11,MX,1706574748
222,port lincoln,-34.7333,135.8667,67.41,65,42,11.77,AU,1706574749
223,skovorodino,53.9833,123.9167,-18.74,95,87,2.66,RU,1706574749
224,son la,21.3167,103.9,56.23,90,34,1.88,VN,1706574749
225,beledweyne,4.7358,45.2036,76.75,75,97,10.0,SO,1706574749
226,yaren,-0.5472,166.916,84.49,69,45,18.32,NR,1706574749
227,la palma,33.8464,-118.0467,82.35,34,20,12.66,US,1706574750
228,caleta de carquin,-11.0925,-77.6267,75.99,78,97,8.66,PE,1706574750
229,bishkek,42.87,74.59,32.2,98,100,1.83,KG,1706574549
230,walvis bay,-22.9575,14.5053,67.15,72,9,2.3,NA,1706574750
231,hassi messaoud,31.6804,6.0729,53.46,82,0,4.61,DZ,1706574750
232,fort bragg,35.139,-79.006,51.35,49,0,6.91,US,1706574750
233,megion,61.0296,76.1136,-0.38,100,97,7.29,RU,1706574751
234,bilajer,40.5681,50.0378,39.02,75,100,20.71,AZ,1706574751
235,hovd,48.0056,91.6419,-7.22,86,10,1.43,MN,1706574751
236,utrik,11.2278,169.8474,79.65,70,100,13.67,MH,1706574751
237,ijui,-28.3878,-53.9147,68.61,79,0,4.68,BR,1706574751
238,tukrah,32.5341,20.5791,51.06,79,100,11.74,LY,1706574751
239,zilair,52.2332,57.4392,13.3,96,100,3.33,RU,1706574752
240,iklehra,23.15,76.3833,58.12,49,100,1.77,IN,1706574752
241,atafu village,-8.5421,-172.5159,85.5,70,100,8.97,TK,1706574752
242,sola,-13.8833,167.55,81.03,78,100,9.1,VU,1706574752
243,porto novo,6.4965,2.6036,78.3,79,1,5.77,BJ,1706574752
244,as sulayyil,20.4607,45.5779,68.25,58,21,8.14,SA,1706574752
245,isla mujeres,21.2311,-86.731,68.16,64,100,13.67,MX,1706574753
246,kolonia town,6.964,158.206,86.0,74,100,11.5,FM,1706574753
247,undurkhaan,47.3194,110.6556,-21.66,100,94,2.06,MN,1706574753
248,caernarfon,53.1413,-4.2702,43.63,52,100,11.5,GB,1706574753
249,orange,33.7,-117.7675,83.43,36,20,9.22,US,1706574753
250,sompeta,18.9333,84.6,66.85,73,6,4.81,IN,1706574754
251,kralendijk,12.15,-68.2667,78.78,83,20,11.5,BQ,1706574534
252,nizao,18.25,-70.2,77.47,80,0,2.86,DO,1706574754
253,tsiombe,-25.3,45.4833,72.48,81,0,13.65,MG,1706574754
254,villamontes,-21.25,-63.5,79.5,65,100,5.1,BO,1706574754
255,moratalla,38.1893,-1.8918,44.02,95,100,1.3,ES,1706574754
256,al kharj,24.155,47.3346,61.38,47,100,7.43,SA,1706574755
257,gwadar,25.1216,62.3254,71.85,78,99,11.45,PK,1706574755
258,cangas de onis,43.3284,-5.0718,52.45,63,23,4.36,ES,1706574755
259,yarmouth,41.7057,-70.2286,34.97,90,100,28.99,US,1706574723
260,bandon,51.7469,-8.7425,36.99,86,0,5.08,IE,1706574755
261,posto fiscal rolim de moura,-13.0833,-62.2667,79.02,79,99,3.85,BR,1706574755
262,igarka,67.4667,86.5833,-8.25,81,100,13.85,RU,1706574756
263,salekhard,66.53,66.6019,-12.12,100,100,4.79,RU,1706574756
264,coyhaique,-45.5752,-72.0662,60.75,51,0,3.44,CL,1706574699
265,road town,18.4167,-64.6167,78.89,78,40,2.3,VG,1706574756
266,al hamul,31.3115,31.1477,50.97,61,100,14.14,EG,1706574756
267,taro,-8.3862,115.28,73.4,71,9,0.92,ID,1706574757
268,mammoth lakes,37.6485,-118.9721,52.52,30,0,8.05,US,1706574757
269,munirabad,15.3333,76.3333,66.49,65,100,5.7,IN,1706574757
270,sitka,57.0531,-135.33,48.09,76,100,28.77,US,1706574757
271,todos santos,23.45,-110.2167,72.45,76,100,8.28,MX,1706574757
272,traverse city,44.7631,-85.6206,37.51,85,75,9.22,US,1706574758
273,ain el bya,35.8039,-0.3018,54.09,92,100,3.78,DZ,1706574758
274,la ronge,55.1001,-105.2842,37.65,70,75,6.91,CA,1706574758
275,lazaro cardenas,17.9583,-102.2,77.67,75,100,3.71,MX,1706574758
276,murun-kuren,49.6342,100.1625,-5.76,94,100,0.96,MN,1706574758
277,olinda,-8.0089,-34.8553,82.13,78,20,9.22,BR,1706574759
278,piti village,13.4626,144.6933,83.28,72,75,20.71,GU,1706574759
279,egersund,58.4513,5.9997,38.08,72,100,4.38,NO,1706574759
280,likiep,9.8251,169.3107,79.63,74,81,17.13,MH,1706574759
281,itoman,26.1247,127.6694,68.77,60,75,9.22,JP,1706574759
282,sumbe,-11.2061,13.8437,78.17,91,100,4.32,AO,1706574759
283,dhidhdhoo,6.8833,73.1,81.18,70,22,7.83,MV,1706574759
284,east london,-33.0153,27.9116,75.85,79,67,21.03,ZA,1706574607
285,banda aceh,5.5577,95.3222,78.48,83,13,11.56,ID,1706574760
286,plainfield,40.6168,-74.4173,38.05,71,100,5.75,US,1706574760
